Isolate_ID,Genome_Length_BP,GC_Content_Percent,gene_APH(3'')-Ib,gene_APH(3')-Ia,gene_APH(6)-Id,gene_CMY-59,gene_CRP,gene_CTX-M-14,gene_CTX-M-15,gene_CTX-M-27,gene_Escherichia_coli_acrA,gene_Escherichia_coli_ampC,gene_Escherichia_coli_ampC1_beta-lactamase,gene_Escherichia_coli_ampH,gene_Escherichia_coli_emrE,gene_Escherichia_coli_mdfA,gene_H-NS,gene_KPC-1,gene_MCR-1,gene_QnrS1,gene_aadA5,gene_acrB,gene_acrD,gene_acrE,gene_acrF,gene_acrS,gene_bacA,gene_baeR,gene_baeS,gene_cpxA,gene_dfrA17,gene_emrA,gene_emrB,gene_emrK,gene_emrR,gene_emrY,gene_eptA,gene_evgA,gene_evgS,gene_floR,gene_gadW,gene_gadX,gene_kdpE,gene_marA,gene_mdtA,gene_mdtB,gene_mdtC,gene_mdtE,gene_mdtF,gene_mdtG,gene_mdtH,gene_mdtM,gene_mdtN,gene_mdtO,gene_mdtP,gene_mphA,gene_mphB,gene_msbA,gene_pmrF,gene_sul1,gene_sul2,gene_tet(A),gene_tet(B),gene_tolC,gene_ugd,gene_yojI,class_acridine_dye,class_aminocoumarin,class_aminoglycoside,class_benzalkonium_chloride,class_carbapenem,class_cephalosporin,class_cephamycin,class_diaminopyrimidine,class_fluoroquinolone,class_fosfomycin,class_glycylcycline,class_lincosamide,class_macrolide,class_monobactam,class_nitroimidazole,class_nucleoside,class_penam,class_penem,class_peptide,class_phenicol,class_rhodamine,class_rifamycin,class_sulfonamide,class_tetracycline,class_triclosan,collection_date,country,host,isolation_source,assembly_level,ref_authors,ref_title,ref_journal,ref_pubmed,organism,biosample,bioproject,taxonomy,collection_year,collection_month,collection_season,host_standardized,isolation_source_standardized,total_amr_genes,total_resistance_classes
AP042598.1,5299229,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899045,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042616.1,5300431,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899047,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042623.1,5299253,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899048,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042630.1,5300435,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899049,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042637.1,5300368,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899050,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042652.1,5300443,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899052,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042659.1,5300438,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899053,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042666.1,5300399,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899054,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042695.1,5282311,50.69,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899059,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,46,23
AP042706.1,5516786,50.8,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899061,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,45,23
CP107553.1,4688502,50.79,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Tang,N.",Understanding the rapid spread of antimicrobial resistance genes mediated by insertion sequences,Unpublished,,Escherichia coli,SAMN31233450,PRJNA889197,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,48,23
CP159453.1,5007645,50.64,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462.0,Escherichia coli,SAMN42054169,PRJNA1096459,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,47,23
CP159455.1,4785362,50.83,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462.0,Escherichia coli,SAMN42056363,PRJNA1096459,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,47,23
CP159462.1,5101678,50.68,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462.0,Escherichia coli,SAMN42056466,PRJNA1096459,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,44,22
CP183993.1,5234804,50.73,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",,Escherichia coli,SAMN47255917,PRJNA1232972,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,45,23
CP183996.1,4897395,50.83,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",,Escherichia coli,SAMN47255918,PRJNA1232972,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,43,21
CP184002.1,4982291,50.73,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",,Escherichia coli,SAMN47255919,PRJNA1232972,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,44,23
CP184007.1,5057002,50.8,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",,Escherichia coli,SAMN47255920,PRJNA1232972,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,44,23
CP184016.1,4815805,50.72,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",,Escherichia coli,SAMN47255921,PRJNA1232972,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,44,23
CP184019.1,4992020,50.75,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",,Escherichia coli,SAMN47255922,PRJNA1232972,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,44,23
